Date,Open,High,Low,Close,Volume,Adj Close
2017-01-31,175.050003,175.580002,173.610001,174.520004,4082500,174.520004
2017-01-30,176.979996,177.070007,174.580002,175.800003,4078900,175.800003
2017-01-27,178.470001,179.199997,177.300003,177.300003,3440000,177.300003
2017-01-26,178.059998,178.880005,177.509995,178.660004,3052500,178.660004
2017-01-25,176.259995,179.25,176.130005,178.289993,5885800,178.289993
2017-01-24,171.360001,176.00,171.160004,175.899994,6918600,175.899994
2017-01-23,170.080002,171.25,170.009995,171.029999,5327300,171.029999
2017-01-20,167.809998,170.639999,166.00,170.550003,12495100,170.550003
2017-01-19,166.960007,167.449997,165.800003,166.809998,5733000,166.809998
2017-01-18,167.449997,168.589996,166.690002,166.800003,3979900,166.800003
2017-01-17,166.690002,168.179993,166.119995,167.889999,3302900,167.889999
2017-01-13,167.970001,168.479996,166.880005,167.339996,2872600,167.339996
2017-01-12,167.770004,168.009995,165.559998,167.949997,2927500,167.949997
2017-01-11,166.050003,167.759995,165.600006,167.75,3585800,167.75
2017-01-10,167.979996,168.089996,165.339996,165.520004,4097100,165.520004
2017-01-09,169.470001,169.800003,167.619995,167.649994,3184700,167.649994
2017-01-06,168.690002,169.919998,167.520004,169.529999,2814900,169.529999
2017-01-05,169.25,169.389999,167.259995,168.699997,2681000,168.699997
2017-01-04,167.770004,169.869995,167.360001,169.259995,3357000,169.259995
2017-01-03,167.00,167.869995,166.009995,167.190002,2927900,167.190002
